1080	14958.43	14976.18	14981.96	14984.86	14986.39	14987.10	14987.92	14987.03 14986.69 14985.26 14983.24 14981.52 14978.43 14974.51 14968.22	14953.15
1100	14954.29	14971.88	14977.66	14980.58	14982.00	14982.90	14983.69	14982.83 14982.55 14981.23 14979.10 14977.13 14974.07 14970.04 14963.58	14948.29
1110	14951.53	14969.03	14974.94	14977.83	14979.41	14980.36	14981.26	14980.39 14980.04 14978.59 14976.42 14974.63 14971.39 14967.38 14960.80	14945.36
1120	14946.79	14964.58	14970.58	14973.57	14975.28	14976.44	14977.38	14976.57 14976.50 14975.09 14972.77 14970.80 14967.62 14963.40 14956.68	14941.00
1130	14941.47	14959.62	14965.90	14969.19	14971.17	14972.42	14973.49	14973.07 14972.92 14971.39 14969.12 14967.13 14963.75 14959.46 14952.48	14936.31
1140	14930.33	14949.35	14956.12	14959.70	14962.16	14963.69	14965.10	14964.67 14964.58 14963.38 14960.99 14958.92 14955.23 14950.67 14942.99	14926.00
1150	14873.12	14894.75	14901.81	14905.72	14909.72	14911.12	14913.00	14912.56 14912.32 14912.38 14909.41 14906.86 14903.66 14899.12 14890.00	14870.76
1160	14379.36	14412.08	14415.42	14416.52	14430.05	14427.72	14431.36	14429.00 14426.45 14436.28 14431.23 14425.99 14428.98 14428.52 14413.32	14386.29
1170	12118.33	12170.72	12165.53	12160.64	12192.52	12181.61	12188.15	12181.71 12173.93 12203.52 12193.51 12182.73 12198.31 12206.42 12178.10	12138.05
1180	9075.35		9131.70		9134.22		9133.69		9163.82		9155.36		9161.41		9156.01	 9149.28  9174.30  9164.98  9154.62  9165.62  9169.17  9137.81	9092.64
1190	6753.84		6813.34		6827.68		6835.15		6861.87		6858.64		6864.76		6861.44	 6856.59  6873.82  6865.47  6855.24  6858.25  6853.31  6818.71	6768.00
1200	5079.47		5141.74		5165.99		5181.20		5207.14		5208.94		5216.01		5214.66	 5211.22  5222.43  5214.08  5202.73  5198.50  5185.43  5146.62	5091.21
1210	3882.13		3943.57		3974.29		3995.09		4020.80		4026.94		4035.06		4035.31	 4033.05  4039.67  4030.83  4018.25  4008.24  3989.14  3948.18	3892.05
1220	3027.11		3084.24		3117.19		3140.74		3166.06		3174.95		3183.83		3185.37	 3183.83  3187.42  3178.12  3164.72  3151.08  3128.94  3088.57	3035.27
1230	2400.50		2451.49		2483.63		2507.56		2531.79		2542.07		2551.24		2553.51	 2552.50  2554.13  2544.69  2531.26  2515.91  2493.08  2455.23	2407.09
1240	1926.10		1970.35		1999.97		2022.67		2045.08		2055.69		2064.75		2067.34	 2066.66  2067.10  2058.00  2045.07  2029.54  2007.62  1973.50	1931.40
1250	1556.95		1594.67		1620.99		1641.55		1661.84		1671.99		1680.43		1683.16	 1682.69  1682.43  1673.96  1661.99  1647.33  1627.26  1597.31	1561.21
1260	1260.93		1292.67		1315.46		1333.59		1351.49		1360.79		1368.47		1371.01	 1370.74  1370.17  1362.49  1351.84  1338.49  1320.74  1294.96	1264.43
1270	1019.80		1046.28		1065.67		1081.27		1096.83		1105.02		1111.82		1114.14	 1113.92  1113.25  1106.52  1097.20  1085.49  1070.18  1048.34	1022.81
1280	821.17		843.08		859.31		872.51		885.85		892.85		898.69		900.74	 900.60	  899.92   894.09   886.16   876.13   863.17   844.90	823.78
1290	657.32		675.20		688.60		699.63		710.81		716.67		721.61		723.34	 723.25	  722.65   717.73   711.09   702.66   691.92   676.84	659.60
1300	522.35		536.81		547.70		556.71		566.02		570.84		575.03		576.33	 576.30	  575.75   571.73   566.30   559.29   550.56   538.30	524.41
1310	412.64		424.11		432.84		440.06		447.68		451.53		454.96		456.00	 456.02	  455.56   452.26   447.89   442.20   435.18   425.35	414.34
1320	324.47		333.49		340.34		346.08		352.23		355.22		358.01		358.74	 358.77	  358.38   355.71   352.28   347.72   342.17   334.41	325.70
1330	254.63		261.60		266.93		271.40		276.35		278.61		280.87		281.34	 281.40	  281.07   278.94   276.28   272.62   268.28   262.20	255.46
1340	199.92		205.26		209.35		212.80		216.73		218.39		220.20		220.48	 220.54	  220.23   218.55   216.45   213.59   210.19   205.46	200.23
1350	157.26		161.33		164.46		167.13		170.26		171.43		172.89		172.99	 173.04	  172.75   171.44   169.82   167.49   164.84   161.25	157.19
1360	124.01		127.10		129.49		131.52		134.01		134.83		136.02		135.94	 135.92	  135.71   134.63   133.38   131.53   129.50   126.65	123.54
1370	98.07		100.39		102.21		103.78		105.82		106.37		107.31		107.14	 107.19	  106.96   106.13   105.16   103.69   102.11   99.90	97.53
1380	77.87		79.65		81.00		82.21		83.86		84.18		84.99		84.72	 84.75	  84.55	   83.86    83.14    81.96    80.76    79.04	77.23
1390	62.06		63.36		64.42		65.33		66.69		66.84		67.53		67.19	 67.24	  67.01	   66.49    65.97    64.95    63.99    62.63	61.25
1400	49.54		50.57		51.36		52.06		53.20		53.25		53.87		53.44	 53.51	  53.31	   52.86    52.47    51.64    50.89    49.82	48.80
